"","title","point","review"
"44","킹 아서: 제왕의 검","9","생각없이 봤는데 스케일이 큰 영화네? 하면서 빠져들었다 다 아는 엑스칼리버 얘기인데 영화로 만드니 시간가는 줄 모르고 재밌게 봤다"
"45","미나리","8","갈등이있기에 해쳐나갈수있다"
"46","미나리","8","이민자들에게  큰 감동을 주었음이 분명하겠어요"
"47","미나리","6","하 그닥 결말 뭔가요?차라리 미나리 농사를 지어서 돈을 크게 번다 뭐 이런 것도 아니고"
"48","미나리","7","기대보다는 스토리가 큰 감흥은 없습니다연기는 잔잔하게 볼 만 합니다"
"49","죄 많은 소녀","8","연출을 좀 무겁게 했지만, 그로 인해 더 생생했다 전여빈 배우님 원석발견영화."
"50","극장판 귀멸의 칼날: 무한열차편","10","진짜 여러분들 휴지 챙겨가세요 4d로 봐도 재밌는데 4d로 보면 울거 같은 장면에서 의자가 움직여서 안울수도 있습니다. 진짜 개인 소장해서 여러번 보고 싶은 영화입니다."
"51","에놀라 홈즈","10","영화 잘 봤습니다 창작의 자유이니 너무 서로 헐뜯지 맙시다 근데 일부 남자들보고 반성하라는 말이 자주 보이는데 뭘 반성해야 되죠?? 여성이라고 무시하면서 산적 없는데 80년대 이후로 태어난 남자들은 거의다 저랑 비슷한 생각일거임 사회구조적인 문제와 기성세대가 잘못한걸 왜 우리한테 풀고있는지"
"52","미나리","8","잔잔한 영화생각보다 큰 감동은 아니었다.기대가 컸나?"
"53","포비아","2","그럭저럭. 서프라이즈 수준의 공포."
"54","도굴","5","롤토체스 하면서 사운드 채우기에는 적합했어요."
"55","미나리","6","영화는 밋밋했어요음악은 좀 촌스러워서 거슬렸구요배우들의 어색한 한국어가 몰입을 방해했어요어?이게 끝이야의 엔딩이었습니다"
"56","미나리","4","딱 상주는 사람들 취향인 영화.. 공감이 잘 안됨"
"57","꾼","10","와 나 평점 처음 써보는데 개재밌다 넷플에 나와서 아무생각 없이 틀었는데 존잼 반전에반전 그와중에 현빈 존잘 다들 꼭 보셈"
"58","극장판 귀멸의 칼날: 무한열차편","10","눈물바다....넘모 잼잇쟌아"
"59","미나리","6","마무리가 비교적 약했음"
"60","해리 포터와 불의 잔","10","롯데시네마랑 CGV 둘 다 봤는데 의자는 롯데시네마가 더 움직이고 특수효과는 CGV가 더 좋네요 근데 매장마다 다를 수 있으니 참고만 하세용"
"61","인랑","1","밀정은 완벽한데 인랑은 왜 이모양?"
"62","극장판 귀멸의 칼날: 무한열차편","10","쩔었다.. 애니를 극장가서 본것도 성인되고 처음이지만 이건 정말 볼만합니다"
"63","극장판 귀멸의 칼날: 무한열차편","10","난 너무 재밌었음 그럼 됐어"
"64","빽 투 더 퓨쳐 3","9","3부작이 서로 적절하고 자연스럽게 이어지면서 마지막 끝맺음까지 완벽한 고전명작"
"65","바이올렛 에버가든 - 영원과 자동 수기 인형 -","8","편지라는 매체가 가진 특징을 잘 살리면서, 서정적인 분위기, 극강의 작화, 멋진 OST까지. 자극적이지 않으면서 마음을 포근하게 적셔주는 고마운 시리즈."
"66","와호장룡","8","액션씬이 훌륭하고 씁쓸하면서도 애달픈 무협영화"
"67","톰과 제리","8","톰과제리는 옛날부터 많이 봐와서 지루하지 않았는데, 분량이 살짝 아쉽고, 클레이 모레츠와 협동 조합은 잘 안 맞은 거 같네요.."
"68","미나리","5","재미도 감동도 너어무 없음"
"69","극장판 귀멸의 칼날: 무한열차편","10","마스크 젖도록 울고 나옴.... 증말 보고와서 몇일째 못헤어나오는 중.. 싸움씬에 깔리는 오토튠 지리는 음악은 개 소름돋음!!!쿄쥬로ㅠㅠㅠㅠ♥ ♥ ♥ ♥"
