"","vtitle","vpoint","vreview"
"45","승리호","1","개보다 못한 쓰 레 기 영 화 !!!  구역질나는 좌빨들이 정권잡고 하는 짓 봐라 !!!  미화도 작작해야지 거부감이 생기는 더러운 쓰레기 영화 !!!"
"46","톰과 제리","10","꼭보세요 너무 잘만든 영화같아요"
"47","명량","5","전혀.... 아니올시다."
"48","명량","8","미국 수맥찾는법 확인가능함. 장비 국내와 유사한걸로 밝혀져."
"49","명량","10",""
"50","극장판 귀멸의 칼날: 무한열차편","10","계속 불안한 느낌의 연출, 배우들 연기 다 좋았습니다♡"
"51","승리호","10","국어 교과서에 실려도 이상하지 않을 영화"
"52","미션 파서블","10","아파하며 뿌리내린 나무의 이야기"
"53","이스케이프 플랜3","1","보고 다시 이야기하겠음"
"54","극장판 귀멸의 칼날: 무한열차편","10",""
"55","승리호","10","볼만하다. 인생한번 그렇게 사랑한다면야"
"56","톰과 제리","10","시간 아깝다니 졸작이니 뭐니 깔 사람은 그 시간에 또 아까운 시간들여 평점 테러하지말고 본인 시간 아끼도록."
"57","명량","10","진짜 재밌게 봤습니다 유치하지도 않고.."
"58","명량","10",""
"59","명량","8","억지 신파가 아닌 담담한 연출로도 충분한 감동"
"60","극장판 귀멸의 칼날: 무한열차편","4","걍~ 본능에 충실한... 부럽! ;;;"
"61","승리호","6","잔잔한감동이 있고 돈보다 가족이우선이라는 뭔가 울림이있네요~윤여정씨의 아픈연기는 정말대단해요~데이빗손주와 외할머니의 케미가 돋보였습니다"
"62","미션 파서블","2","10원도 아깝다곸ㅋㅋㅋ진짜 유아인 박신혜도 한창 반등해야할 나이인데, 무슨 자신감과 안목으로 차기작을 고르는건지 이해1도 0.01도 안됨"
"63","이스케이프 플랜3","10","답답한 현실을 웃으면서 사는 방법에 관한 영화임"
"64","극장판 귀멸의 칼날: 무한열차편","2","기대하고 봤더니 실망만 했습니다. 스토리 연출이 아주 개판"
"65","승리호","8","저의 눈물을 자극할 정도로 감동적이었어요. 마지막에 데이빗이 할머니한테 달려갈 때 제일 좋았어요. 해피엔딩이었으면 더 좋았을 것 같아요!"
"66","톰과 제리","10","배우들 연기도 좋았고 스토리도 이정도면 나름 만족해요!!다 보고 나서 여운이 오래가네요...."
"67","명량","10","다른거 다 모르겠고!감독 센스가 대단함! 이건 감독 능력임!영화가 세련됐음!이런 스토리를 이렇게 아름답게 풀다니...보는 내내 영상이 너무 아름답고...음악도 너무 아름다움"
"68","명량","10","한예리 배우님 연기 정말 훌륭하십니다"
"69","명량","7",""
"70","극장판 귀멸의 칼날: 무한열차편","9","개인적으로 영화 버닝을 보다가 같이 보던 친구가 비닐하우스 태우는 신을 보고 실제 자신의 과수원 태운 것처럼 놀라며 아까워했는데 그 기분을 알게되었다. 길버트 그레이프 같은 드라마를 좋아하는 관객이라면 추천한다. 극장 밖을 기분 좋게 나올 수 있던 영화!"
"71","승리호","10","슬프면서도 따뜻한 내 인생 최고의 영화!! 많은 생각을 하게되는 그런 영화 ㅎㅎㅎ"
"72","미션 파서블","8","뿌리깊게 자란 가든의 식물은 아니지만 미나리처럼 생명력 강한 영화좋은 곳에 자리잡아 자연에, 바람에 흩날리는 미나리처럼 살아가고 싶은 가족의 이야기"
"73","이스케이프 플랜3","10","마지막이 좀 안타까움... 돈 버는 영화.. 강추"
"74","극장판 귀멸의 칼날: 무한열차편","10","보쿠타치와 모에사카루 타비노토츄데데~~아이~~~"
"75","승리호","10","유년기를 디지몬과 함께하신 분이라면 꼭 보세요!"
"76","톰과 제리","10",""
"77","명량","10","전체적으로 이야기를 끌어가는게 좋았다"
"78","명량","6","가족의 소중함을 일깨워주는 영화이다. 어디서든 잘 자라는 미나리를 보면서, 어디서든 잘 생활하고 있을 이민자들에게 응원의 박수를 보낸다."
"79","명량","10","중딩때 친구 따라서 극장에서 봤다가 너무 감명깊게 본 기억이 있어서 왓챠에 뜬거 다시 봤는데 그 시절때 봤던거보다 2배는 더 잼있다아니 최근에 나온 모든 영화 통틀어 다섯손가락 안에 들어감"
"80","극장판 귀멸의 칼날: 무한열차편","1","총을 수백발 맞아도 움찔도 안하는 몬스터들이 칼로는 숭숭 썰린다.  땅속으로 이동하는게 차량보다 더 빠르던 몬스터는 땅 위로 올라오니 사람 달리는 속도가 된다."
"81","승리호","5","평점이 나쁘지않아 넷플로봤는데..뭔가 계속 아쉽네요.터질듯터질듯하면서 아쉬운느낌이랄까..따로 시간을 내서 볼필요까진없는듯"
"82","미션 파서블","10","오랜만에 아무생각 없이 넘 재밋게 봣어요 ㅠㅠㅠ 웃음포인트도 많고 계속 생각나요 ㅋㅋㅋㅋ"
"83","이스케이프 플랜3","10","아니 ㅅㅂ 한국사 공부를 안했나 ㅁㅊㅅㅋ들이 이걸 폭동이라 하네 정신병자들이 일베충 내눈에 띄지마라 OO다 진짜"
"84","극장판 귀멸의 칼날: 무한열차편","7","시간 남아서 본 영화... 그냥 괜찮은정도?"
"85","승리호","4","내가 수준이 낮은건지.. 너무 난해하다..배우들 대사 전달도 잘 안됐을뿐더러 보는내내 지루했다.."
"86","톰과 제리","9","어릴 때는 몰랐는데 성인이 되고 나이가 들어서 보니 또 다르다 금자는 13년동안 얼마나 복수를 갈망했을까... 복수신은 잔인하다 생각들면서도 통쾌했다 영화속 요즘 활발하게 활동하는 반가운 배우들의 얼굴도 많고 좋았다"
"87","명량","10","27살,, 귀멸의칼날 보고 울기 딱 좋은 나이입니다...혼자 영화관가서 감동 먹고 오열했습니다...마지막 엔딩곡도 너무 좋습니당..."
"88","명량","10","그냥 보세요.. 엄청난 영화임"
"89","명량","5","캐릭터에만집중한 사건들"
"90","극장판 귀멸의 칼날: 무한열차편","10","어디서나 잘 자라는 미나리처럼, 미국 그 어딘가에 정착했을 그들을 상상하게 만드는 영화."
"91","승리호","10","재밌게 잘봤네요ㅎㅎㅎ 마음이 따뜻해져요"
"92","미션 파서블","9","생각없이 봤는데 스케일이 큰 영화네? 하면서 빠져들었다 다 아는 엑스칼리버 얘기인데 영화로 만드니 시간가는 줄 모르고 재밌게 봤다"
"93","이스케이프 플랜3","8","갈등이있기에 해쳐나갈수있다"
"94","극장판 귀멸의 칼날: 무한열차편","8","이민자들에게  큰 감동을 주었음이 분명하겠어요"
