"순서","시군구코드","하천/호수일련번호","하천/호수명_한글","하천/호수명_영문","위도","경도"
"451","11200","11"," "," ","37.5409307","127.0207201"
"454","11560","9"," "," ","37.5308941","126.9180265"
"458","11710","55"," "," ","37.4832391","127.1473488"
"460","11470","3"," "," ","37.5356975","126.8708083"
"463","11470","7"," "," ","37.5281617","126.873558"
"464","11350","6"," "," ","37.64024","127.1082441"
"468","11215","16"," "," ","37.5415932","127.0776911"
"469","11650","8"," "," ","37.4978688","127.0037126"
"471","11650","2","여의천","Yeouicheon","37.4422737","127.0631801"
"385","11560","4"," "," ","37.5394414","126.9260938"
"386","11560","6"," "," ","37.5483658","126.8823832"
"388","11170","28"," "," ","37.5207553","126.9840918"
"391","11470","8"," "," ","37.5278518","126.8784808"
"393","11470","15"," "," ","37.5145585","126.8299998"
"395","11500","33"," "," ","37.5677695","126.8479212"
"396","11560","22"," "," ","37.5180644","126.8971368"
"398","11560","30"," "," ","37.5170101","126.8965953"
"400","11560","36"," "," ","37.5169483","126.8966027"
"401","11560","39"," "," ","37.5169076","126.8949545"
"403","11710","48"," "," ","37.4848562","127.1128066"
"404","11710","49"," "," ","37.4846234","127.1142894"
"406","11500","4"," "," ","37.5653163","126.7751011"
"407","11440","13"," "," ","37.560747","126.8927228"
"410","11710","80"," "," ","37.4958584","127.1614175"
"411","11710","86"," "," ","37.4636547","127.1309239"
"413","11560","57","안양천"," ","37.53591","126.8832527"
"414","11710","43"," "," ","37.4939084","127.1050268"
"416","11170","29"," "," ","37.5204453","126.9834781"
"417","11470","25","안양천"," ","37.5261537","126.8810574"
"419","11620","3"," "," ","37.4702306","126.9567319"
"421","11560","20"," "," ","37.5190533","126.9127834"
"423","11560","33"," "," ","37.5170062","126.8966522"
"426","11710","50"," "," ","37.4838349","127.1157956"
"427","11170","6"," "," ","37.5435712","126.9942592"
"389","11710","57"," "," ","37.4825706","127.1426233"
"390","11560","14"," "," ","37.5268063","126.9075813"
"392","11710","63"," "," ","37.4809696","127.1372836"
"394","11440","15"," "," ","37.5580123","126.8973586"
"397","11560","2"," "," ","37.5400877","126.9255881"
"399","11560","32"," "," ","37.5170076","126.8966239"
"402","11560","44"," "," ","37.5167569","126.9011534"
"405","11170","26"," "," ","37.5216248","126.9834433"
"408","11200","8"," "," ","37.5525284","127.0564999"
"409","11710","19"," "," ","37.5180572","127.0852424"
"412","11170","25"," "," ","37.5231707","126.9809915"
"415","11170","5"," "," ","37.545574","126.9811531"
"418","11500","53"," "," ","37.5878078","126.7980121"
"420","11710","3","탄천"," ","37.4827943","127.1463965"
"422","11560","24"," "," ","37.5175968","126.9003345"
"424","11560","41"," "," ","37.5168804","126.8949517"
"474","11650","24","여의천","Yeouicheon","37.4695434","127.0383483"
"475","11710","10","탄천"," ","37.4765184","127.1200559"
"479","11110","16"," "," ","37.5715218","126.9955126"
"484","11320","5"," "," ","37.686001","127.0331809"
"485","11260","5"," "," ","37.6126699","127.0889011"
"493","11590","4","하천"," ","37.5056168","126.9573028"
"565","11560","27"," "," ","37.5170606","126.8949672"
"566","11170","21"," "," ","37.5244492","126.9785981"
"568","11560","19"," "," ","37.5190256","126.9192252"
"569","11560","35"," "," ","37.5169683","126.8949607"
"570","11560","43"," "," ","37.5168541","126.89495"
"572","11560","49"," "," ","37.5153964","126.9002415"
"573","11560","54"," "," ","37.5089369","126.9123088"
"575","11560","26"," "," ","37.5167885","126.9249304"
"576","11710","15","탄천"," ","37.4776879","127.1336061"
"579","11530","24"," "," ","37.4804069","126.8255694"
"582","11380","9"," "," ","37.6522083","126.9401521"
"583","11110","20","구기천"," ","37.6105955","126.9569602"
"545","11560","40"," "," ","37.516905","126.9001637"
"546","11710","12","탄천"," ","37.4749953","127.1300165"
"549","11170","18"," "," ","37.5252403","126.9845918"
"551","11710","69"," "," ","37.4784534","127.1185516"
"496","11680","12"," "," ","37.475544","127.0669328"
"499","11710","85"," "," ","37.4643383","127.1310412"
"501","11710","70"," "," ","37.4779624","127.1374337"
"502","11560","47"," "," ","37.5166428","126.9012188"
"504","11560","52"," "," ","37.5120119","126.9011242"
"506","11710","78","탄천"," ","37.4939136","127.1006357"
"507","11170","10"," "," ","37.5402339","127.0013295"
"509","11170","14"," "," ","37.5314131","126.9583746"
"510","11170","16"," "," ","37.5313423","126.9578856"
"512","11710","68"," "," ","37.4796397","127.139484"
"513","11470","17"," "," ","37.5138878","126.8289285"
"516","11620","6"," "," ","37.4575752","126.9534645"
"519","11710","22"," "," ","37.5168312","127.1208979"
"520","11710","45"," "," ","37.4857517","127.1195696"
"524","11560","46"," "," ","37.5167056","126.9010055"
"528","11710","64"," "," ","37.480489","127.1320451"
"529","11470","16"," "," ","37.5143776","126.8308567"
"530","11710","73"," "," ","37.4758238","127.1438353"
"531","11560","16"," "," ","37.5250482","126.8981825"
"532","11560","56"," "," ","37.5359309","126.9145705"
"533","11500","5"," "," ","37.593216","126.7971636"
"535","11470","11"," "," ","37.5166734","126.8291146"
"538","11710","60"," "," ","37.4816863","127.1221911"
"539","11560","23"," "," ","37.5180362","126.8971356"
"540","11560","5"," "," ","37.5399603","126.924582"
"542","11560","29"," "," ","37.5170128","126.8949645"
"544","11170","30"," "," ","37.5222016","126.9810742"
"508","11170","13"," "," ","37.53357","126.9472084"
"511","11170","20"," "," ","37.5244709","126.9845812"
"514","11470","19"," "," ","37.5134776","126.8311413"
"515","11620","5"," "," ","37.4606717","126.9521414"
"517","11620","7"," "," ","37.4557072","126.9496981"
"518","11440","8"," "," ","37.576772","126.8649539"
"521","11710","65"," "," ","37.4799245","127.1459746"
"522","11710","71"," "," ","37.4755984","127.1403456"
"523","11710","74"," "," ","37.4757074","127.1391056"
