"순서","시군구코드","하천/호수일련번호","하천/호수명_한글","하천/호수명_영문","위도","경도"
"226","11350","22"," "," ","37.6291836","127.0947346"
"228","11500","47"," "," ","37.5848963","126.8391965"
"229","11650","11"," "," ","37.4852453","127.006592"
"230","11500","23"," "," ","37.5690427","126.8450863"
"231","11500","24"," "," ","37.5689598","126.8451207"
"194","11350","1"," "," ","37.6842912","127.0565848"
"195","11650","7"," "," ","37.4978726","127.0037119"
"199","11500","16"," "," ","37.58928","126.8131976"
"201","11740","7"," "," ","37.5705823","127.1754155"
"205","11680","7"," "," ","37.4858317","127.0917556"
"206","11215","1","중랑천"," ","37.5659949","127.0753103"
"208","11680","14"," "," ","37.4718795","127.1000546"
"209","11215","15"," "," ","37.5408559","127.0762045"
"213","11215","19"," "," ","37.5413843","127.0779549"
"149","11530","25"," "," ","37.4781769","126.8240561"
"150","11530","26"," "," ","37.4753571","126.8425935"
"160","11740","10"," "," ","37.5647273","127.1460729"
"162","11215","23"," "," ","37.5616509","127.1131778"
"163","11680","5"," "," ","37.4997262","127.0835594"
"168","11320","2"," "," ","37.6876581","127.0356854"
"170","11590","7","하천"," ","37.501186","126.9228243"
"172","11230","15","청계천","Cheonggyecheon","37.5710574","127.0307838"
"173","11530","12"," "," ","37.4856947","126.8205059"
"175","11380","31"," "," ","37.5845309","126.8894521"
"177","11590","8","하천"," ","37.4961165","126.9671027"
"179","11740","11"," "," ","37.5641826","127.1700856"
"180","11350","24","중랑천"," ","37.6509462","127.0600295"
"181","11215","7","일감호"," ","37.5529299","127.110764"
"183","11530","15"," "," ","37.4843004","126.8273488"
"261","11500","30"," "," ","37.5674707","126.8527388"
"262","11500","20"," "," ","37.5787291","126.8332803"
"266","11500","44"," "," ","37.5443732","126.8143733"
"268","11500","9"," "," ","37.59099","126.8101048"
"269","11620","9"," "," ","37.4537633","126.9529222"
"270","11200","2"," "," ","37.5602261","127.0699542"
"273","11500","38"," "," ","37.5668896","126.8498792"
"275","11650","16"," "," ","37.4559401","127.0569687"
"277","11440","17"," "," ","37.5553563","126.8981989"
"280","11680","17"," "," ","37.4687447","127.1050577"
"281","11650","18"," "," ","37.4550447","127.0611142"
"282","11710","35"," "," ","37.5022087","127.1187993"
"285","11710","81"," "," ","37.4939248","127.1609141"
"287","11710","5","탄천"," ","37.4827083","127.1353549"
"289","11710","31"," "," ","37.5106217","127.0775015"
"292","11350","10"," "," ","37.6354142","127.1065707"
"294","11710","24"," "," ","37.5154212","127.1014223"
"297","11170","1"," "," ","37.5339112","126.9458633"
"299","11170","4"," "," ","37.5461409","126.964778"
"291","11440","18","불광천"," ","37.5690627","126.900752"
"293","11350","11"," "," ","37.6350237","127.1080576"
"295","11710","82"," "," ","37.4748909","127.1457769"
"296","11710","83"," "," ","37.4748645","127.1461715"
"298","11710","46"," "," ","37.4854193","127.1337984"
"301","11620","4"," "," ","37.4657939","126.9876182"
"306","11710","21"," "," ","37.5168568","127.0937393"
"307","11710","84"," "," ","37.4739604","127.1440977"
"308","11350","15"," "," ","37.6333462","127.0952351"
"300","11620","2"," "," ","37.4708867","126.9564543"
"302","11410","5","홍제천"," ","37.5832431","126.9364557"
"303","11410","1"," "," ","37.571832","126.9357562"
"304","11710","9","성내천"," ","37.5121379","127.124706"
"305","11710","27"," "," ","37.5128894","127.1267272"
"310","11500","41"," "," ","37.5667355","126.8498571"
"274","11290","8"," "," ","37.6096977","126.9888687"
"276","11710","75"," "," ","37.4756014","127.1410571"
"278","11350","20"," "," ","37.6307012","127.101035"
"283","11350","9"," "," ","37.6353911","127.1080302"
"279","11710","2","탄천"," ","37.4805693","127.1382623"
"284","11710","23"," "," ","37.516184","127.1016479"
"286","11170","2"," "," ","37.5338343","126.9466997"
"288","11440","1"," "," ","37.587177","126.8806675"
"290","11710","37"," "," ","37.4948035","127.1589819"
"235","11290","15"," "," ","37.5992022","127.0013708"
"238","11440","2"," "," ","37.5861346","126.8820694"
"239","11440","4"," "," ","37.583693","126.8833172"
"240","11440","7"," "," ","37.5777812","126.8703482"
"242","11500","28"," "," ","37.5680573","126.8474343"
"243","11500","29"," "," ","37.5680145","126.8477865"
"245","11680","22"," "," ","37.467918","127.1051942"
"247","11710","33"," "," ","37.5070862","127.0837362"
"249","11680","20"," "," ","37.4681461","127.1050702"
"251","11215","18"," "," ","37.5414046","127.0776731"
"253","11500","22"," "," ","37.5743003","126.8388582"
"256","11620","11","도림천"," ","37.470861","126.926469"
"257","11215","22"," "," ","37.5396765","127.0857528"
"258","11710","8","탄천"," ","37.4803124","127.1250026"
"259","11200","13"," "," ","37.5348063","127.0376486"
"263","11290","18"," "," ","37.5972062","126.9992058"
"264","11500","37"," "," ","37.5669197","126.8500158"
"265","11500","39"," "," ","37.5668001","126.8500033"
"267","11440","5"," "," ","37.5812952","126.8797249"
"271","11290","7"," "," ","37.6116245","126.9937979"
"233","11500","26"," "," ","37.568366","126.8471058"
"234","11290","14"," "," ","37.601155","127.007468"
"236","11290","16"," "," ","37.5987231","126.998939"
"237","11290","17"," "," ","37.5982763","126.9995143"
"241","11500","7"," "," ","37.5914059","126.8120795"
"244","11500","31"," "," ","37.5679071","126.8479876"
"246","11500","15"," "," ","37.5901598","126.8102858"
"248","11440","19"," "," ","37.5777328","126.8661812"
"250","11215","13"," "," ","37.5441131","127.0810744"
"252","11350","2"," "," ","37.6842852","127.0528909"
"254","11680","28","양재천"," ","37.4995436","127.0733432"
"272","11290","13"," "," ","37.6013703","127.0072702"
"255","11230","9","하천"," ","37.5839607","127.0615987"
"260","11440","6"," "," ","37.5769936","126.8662479"
"341","11710","38"," "," ","37.4945361","127.158829"
"342","11710","39"," "," ","37.4941082","127.1056075"
