기간,자치구,합계,계(개),인도(주인),입양분양,폐사안락사,계류기증,,,,,
2007,송파구,716,451,34,12,405,-,,,,,
2007,강동구,619,451,40,31,380,-,,,,,
2008,합계,"15,667","11,279","1,370","3,206","6,435",268,,,,,
2008,종로구,387,264,36,112,98,18,,,,,
2008,중구,236,167,12,9,146,-,,,,,
2008,용산구,883,555,49,282,224,-,,,,,
2008,성동구,380,243,22,8,211,2,,,,,
2008,광진구,685,417,36,34,347,-,,,,,
2008,동대문구,585,371,35,32,304,-,,,,,
2008,중랑구,559,388,25,19,344,-,,,,,
2008,성북구,844,658,116,317,211,14,,,,,
2008,강북구,615,534,72,258,192,12,,,,,
2008,도봉구,430,351,34,32,283,2,,,,,
2008,노원구,495,365,47,23,293,2,,,,,
2008,은평구,765,529,54,36,439,-,,,,,
2008,서대문구,758,525,70,335,118,2,,,,,
2008,마포구,582,414,33,62,311,8,,,,,
2008,양천구,753,684,99,374,203,8,,,,,
2008,강서구,770,576,58,58,458,2,,,,,
2008,구로구,752,567,86,150,286,45,,,,,
2008,금천구,324,243,21,11,208,3,,,,,
2008,영등포구,456,350,25,24,297,4,,,,,
2008,동작구,768,561,69,177,302,13,,,,,
2008,관악구,825,627,64,168,395,-,,,,,
2008,서초구,470,281,34,66,168,13,,,,,
2008,강남구,811,511,133,244,80,54,,,,,
2008,송파구,623,423,32,30,361,-,,,,,
2008,강동구,911,675,108,345,156,66,,,,,
2009,합계,"16,911","10,947","1,733","3,779","5,147",288,,,,,
2009,종로구,409,227,69,119,30,9,,,,,
2009,중구,268,115,11,17,87,-,,,,,
2009,용산구,994,541,62,298,181,-,,,,,
2009,성동구,395,265,46,26,193,-,,,,,
2009,광진구,741,357,46,57,251,3,,,,,
2009,동대문구,413,321,44,47,228,2,,,,,
2009,중랑구,489,376,51,19,306,-,,,,,
2009,성북구,563,406,46,26,334,-,,,,,
2009,강북구,580,430,60,53,317,-,,,,,
2009,도봉구,421,284,35,35,208,6,,,,,
2009,노원구,524,362,45,37,280,-,,,,,
2009,은평구,"1,213",924,179,492,240,13,,,,,
2009,서대문구,805,478,84,290,104,-,,,,,
2009,마포구,808,513,76,384,53,-,,,,,
2009,양천구,642,578,82,230,254,12,,,,,
2009,강서구,818,577,79,73,415,10,,,,,
2009,구로구,908,518,85,196,182,55,,,,,
2009,금천구,360,242,38,25,172,7,,,,,
2009,영등포구,498,288,37,19,229,3,,,,,
2009,동작구,866,577,77,99,343,58,,,,,
2009,관악구,"1,209",785,101,421,211,52,,,,,
2009,서초구,433,196,27,26,143,-,,,,,
2009,강남구,578,314,69,58,184,3,,,,,
2009,송파구,930,519,95,328,96,-,,,,,
2009,강동구,"1,046",754,189,404,106,55,,,,,
2010,합계,"18,624","11,120","2,006","3,460","4,923",731,,,,,
2010,종로구,495,287,79,75,21,112,,,,,
2010,중구,329,160,24,29,104,3,,,,,
2010,용산구,"1,048",461,80,193,188,-,,,,,
2010,성동구,490,247,38,45,144,20,,,,,
2010,광진구,718,386,59,94,228,5,,,,,
2010,동대문구,422,350,46,69,140,95,,,,,
2010,중랑구,786,552,45,213,293,1,,,,,
2010,성북구,779,439,54,42,321,22,,,,,
2010,강북구,734,470,38,139,293,-,,,,,
2010,도봉구,552,353,64,65,220,4,,,,,
2010,노원구,533,354,65,78,211,-,,,,,
2010,은평구,"1,331",968,210,396,199,163,,,,,
2010,서대문구,964,446,83,233,130,-,,,,,
2010,마포구,"1,061",464,90,102,61,211,,,,,
2010,양천구,751,639,153,243,228,15,,,,,
2010,강서구,797,499,89,78,324,8,,,,,
2010,구로구,838,520,92,149,241,38,,,,,
2010,금천구,456,268,42,61,165,-,,,,,
2010,영등포구,539,281,59,60,162,-,,,,,
2010,동작구,746,526,81,103,319,23,,,,,
2010,관악구,"1,014",617,121,313,178,5,,,,,
2010,서초구,495,213,48,39,126,-,,,,,
2010,강남구,703,346,82,82,176,6,,,,,
2010,송파구,994,549,65,164,320,-,,,,,
2010,강동구,"1,049",725,199,395,131,-,,,,,
2011,합계,"15,229","8,523","1,759","2,376","4,365",23,,,,,
2011,종로구,379,181,26,12,143,-,,,,,
2011,중구,325,128,25,15,88,-,,,,,
2011,용산구,944,469,61,360,40,8,,,,,
2011,성동구,397,222,48,30,144,-,,,,,
2011,광진구,698,312,65,48,199,-,,,,,
2011,동대문구,723,419,60,126,233,-,,,,,
2011,중랑구,512,365,54,42,269,-,,,,,
2011,성북구,756,376,68,50,258,-,,,,,
2011,강북구,578,317,48,28,241,-,,,,,
2011,도봉구,466,289,46,43,200,-,,,,,
2011,노원구,445,308,77,47,184,-,,,,,
2011,은평구,564,412,78,40,294,-,,,,,
2011,서대문구,560,273,67,57,149,-,,,,,
2011,마포구,990,443,80,276,87,-,,,,,
2011,양천구,755,577,178,212,172,15,,,,,
2011,강서구,700,397,59,37,301,-,,,,,
2011,구로구,471,292,38,36,218,-,,,,,
2011,금천구,413,212,26,9,177,-,,,,,
2011,영등포구,558,267,57,85,125,-,,,,,
2011,동작구,375,324,57,32,235,-,,,,,
2011,관악구,718,550,138,347,65,-,,,,,
2011,서초구,455,167,47,18,102,-,,,,,
2011,강남구,602,222,52,33,137,-,,,,,
2011,송파구,787,363,82,53,228,-,,,,,
2011,강동구,"1,058",638,222,340,76,-,,,,,
2012,합계,"13,556","7,860","1,762","2,327","3,310",461,,,,,
2012,종로구,371,129,17,31,77,4,,,,,
2012,중구,203,97,17,9,71,-,,,,,
