기간	자치구	합계	계(개)	인도	입양분양	폐사	계류기증
2005	구로구	705	601	17	9	229	346	102	0	0	72	30	2	0	0	0	2
2005	금천구	374	340	6	5	323	6	34	0	0	34	0	0	0	0	0	0
2005	영등포구	700	588	16	8	268	296	106	0	0	84	22	6	0	0	2	4
2005	동작구	784	679	26	11	616	26	103	0	1	101	1	2	0	0	2	0
2005	관악구	863	717	25	16	240	436	136	0	0	94	42	10	0	0	8	2
2005	서초구	490	359	19	7	77	256	131	1	0	99	31	0	0	0	0	0
2005	강남구	821	581	48	277	89	167	240	5	144	64	27	0	0	0	0	0
2005	송파구	975	791	38	16	195	542	181	1	1	120	59	3	0	0	1	2
2005	강동구	830	722	41	5	232	444	105	0	0	53	52	3	0	0	3	0
2006	합계	16,106	11,423	666	695	5,310	4,752	4,599	28	242	3,125	1,204	84	2	10	34	38
2006	종로구	320	185	14	3	66	102	133	-	2	74	57	2	-	-	-	2
2006	중구	270	148	7	3	29	109	122	-	-	63	59	-	-	-	-	-
2006	용산구	556	296	13	6	96	181	256	-	11	121	124	4	-	-	-	4
2006	성동구	398	303	14	8	269	12	93	2	1	89	1	2	-	-	-	2
2006	광진구	849	637	33	14	188	402	205	-	-	147	58	7	-	-	6	1
2006	동대문구	591	450	24	9	153	264	140	8	1	92	39	1	-	1	-	-
2006	중랑구	694	510	28	25	442	15	182	1	-	179	2	2	-	-	2	-
2006	성북구	708	506	29	8	160	309	196	2	1	130	63	6	-	1	2	3
2006	강북구	591	490	24	13	441	12	97	1	1	92	3	4	-	-	3	1
2006	도봉구	582	440	28	18	364	30	137	1	2	131	3	5	-	1	3	1
2006	노원구	586	420	24	11	98	287	163	-	-	98	65	3	-	-	1	2
2006	은평구	940	683	42	16	586	39	253	-	3	246	4	4	-	-	4	-
2006	서대문구	732	484	36	13	101	334	244	-	1	133	110	4	-	3	-	1
2006	마포구	635	455	27	12	188	228	177	1	2	122	52	3	-	-	2	1
2006	양천구	734	593	34	12	513	34	140	1	2	134	3	1	-	-	1	-
2006	강서구	935	741	27	24	203	487	187	-	2	111	74	7	-	2	-	5
2006	구로구	629	477	27	16	185	249	150	1	1	93	55	2	1	1	-	-
2006	금천구	347	295	10	6	272	7	52	-	1	51	-	-	-	-	-	-
2006	영등포구	592	372	12	14	121	225	215	1	2	144	68	5	-	-	-	5
2006	동작구	675	470	28	11	299	132	204	1	2	186	15	1	-	-	-	1
2006	관악구	779	576	21	17	161	377	194	2	1	124	67	9	1	-	7	1
2006	서초구	417	229	12	4	54	159	186	1	3	81	101	2	-	1	-	1
2006	강남구	898	541	76	406	42	17	356	4	172	179	1	1	-	-	1	-
